# 2294 distinct multisets of maximal run lengths
# count  multiset
10 4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
10 4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2
10 5,3,2,2,2,2,2,2,2,2,2
10 5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
10 5,3,3,3,3,3,3,2,2,2,2,2,2
10 5,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
10 5,4,4,3,2,2,2,2,2,2,2,2,2
10 5,4,4,3,3,3,2,2,2,2,2,2
10 5,5,3,3,2,2,2,2,2,2,2,2,2
10 5,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2
10 5,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
10 6,3,3,3,3,3,3,2,2,2,2,2,2,2,2
10 6,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
10 6,4,3,3,3,2,2,2,2,2,2,2
10 6,4,3,3,3,3,2,2,2,2,2,2,2
10 6,5,3,3,3,2,2,2,2,2,2,2,2,2
10 6,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2
10 6,5,3,3,3,3,2,2,2,2,2,2,2,2
10 6,5,3,3,3,3,2,2,2,2,2,2,2,2,2
10 7,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
10 7,4,3,3,3,2,2,2,2,2,2,2
10 7,4,3,3,3,3,2,2,2,2,2,2,2
10 8,3,3,3,2,2,2,2,2,2,2,2,2
10 8,3,3,3,3,3,2,2,2,2,2,2,2,2
9 3,3,3,3,2,2,2,2,2,2
9 3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
9 4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9 4,3,3,3,3,2,2,2,2,2
9 4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
9 4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9 4,4,3,2,2,2,2,2,2,2
9 4,4,3,3,2,2,2,2,2,2
9 4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
9 4,4,4,3,2,2,2,2,2,2,2,2
9 4,4,4,4,3,3,3,2,2,2,2,2,2,2,2
9 5,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
9 5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9 5,4,3,2,2,2,2,2,2,2
9 5,4,4,2,2,2,2,2,2,2,2,2,2,2
9 5,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9 5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
9 5,4,4,4,3,3,2,2,2,2,2,2,2,2
9 5,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
9 5,5,3,3,3,3,2,2,2,2,2,2,2,2,2
9 6,3,2,2,2,2,2,2,2,2,2
9 6,3,2,2,2,2,2,2,2,2,2,2,2,2,2
9 6,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9 6,3,3,3,3,3,2,2,2,2,2,2,2
9 6,4,4,3,2,2,2,2,2,2,2,2,2
9 6,5,3,3,2,2,2,2,2,2,2,2,2,2,2
9 6,5,4,3,2,2,2,2,2,2,2,2,2
9 7,3,3,2,2,2,2,2,2,2,2
9 7,3,3,3,3,3,2,2,2,2,2,2,2,2,2
9 7,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
9 7,4,3,3,3,2,2,2,2,2,2,2,2,2,2
9 8,3,2,2,2,2,2,2,2,2,2,2,2,2,2
9 8,3,3,2,2,2,2,2,2,2,2,2,2,2,2
9 8,3,3,3,3,2,2,2,2,2,2,2,2,2
9 8,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
9 13,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9 13,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8 2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8 3,3,3,2,2,2,2,2,2
8 4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8 4,4,2,2,2,2,2,2,2,2,2,2,2
8 4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2
8 4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2
8 5,3,2,2,2,2,2,2,2,2
8 5,3,3,3,3,2,2,2,2,2,2
8 5,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
8 5,4,2,2,2,2,2,2,2,2,2,2,2
8 5,4,2,2,2,2,2,2,2,2,2,2,2,2
8 5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8 5,4,3,3,3,3,3,3,2,2,2,2,2,2
8 5,4,4,2,2,2,2,2,2,2,2,2,2,2,2
8 5,4,4,4,3,2,2,2,2,2,2,2,2,2
8 5,4,4,4,3,2,2,2,2,2,2,2,2,2,2
8 5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2
8 5,5,3,3,2,2,2,2,2,2,2,2,2,2
8 6,3,2,2,2,2,2,2,2,2,2,2,2,2
8 6,3,3,3,3,2,2,2,2,2,2,2
8 6,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
8 6,4,3,2,2,2,2,2,2,2,2,2
8 6,4,3,3,3,3,3,2,2,2,2,2,2
8 6,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
8 6,4,4,3,2,2,2,2,2,2,2,2,2,2
8 6,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2
8 6,5,3,2,2,2,2,2,2,2,2,2,2
8 6,5,3,2,2,2,2,2,2,2,2,2,2,2
8 6,5,3,3,3,2,2,2,2,2,2,2,2
8 7,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
8 7,3,3,3,3,3,2,2,2,2,2,2,2,2
8 7,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
8 7,4,3,2,2,2,2,2,2,2,2,2,2,2
8 8,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8 8,3,3,2,2,2,2,2,2,2,2,2,2
8 8,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
8 8,3,3,3,3,2,2,2,2,2,2,2,2,2,2
8 8,4,3,3,2,2,2,2,2,2,2,2,2
8 13,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7 3,3,2,2,2,2,2,2,2
7 3,3,3,3,3,2,2,2,2,2,2
7 3,3,3,3,3,3,2,2,2,2,2,2
7 3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
7 4,3,3,2,2,2,2,2,2
7 4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7 4,3,3,3,3,3,3,3,2,2,2,2,2
7 4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
7 4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
7 4,4,3,3,3,3,3,2,2,2,2,2
7 4,4,3,3,3,3,3,3,2,2,2,2,2
7 4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
7 4,4,4,2,2,2,2,2,2,2,2,2,2,2
7 4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7 4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7 4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2
7 4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2
7 5,3,3,2,2,2,2,2,2,2
7 5,4,2,2,2,2,2,2,2,2,2,2
7 5,4,3,3,3,2,2,2,2,2,2
7 5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
7 5,5,3,2,2,2,2,2,2,2,2,2,2,2,2
7 5,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7 5,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2
7 5,5,4,3,2,2,2,2,2,2,2,2,2,2,2
7 5,5,4,3,3,2,2,2,2,2,2,2,2,2,2
7 5,5,4,3,3,3,3,2,2,2,2,2,2,2,2
7 6,3,3,3,2,2,2,2,2,2,2
7 6,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
7 6,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
7 6,4,2,2,2,2,2,2,2,2,2,2,2
7 6,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7 6,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
7 6,4,3,3,3,3,2,2,2,2,2,2
7 6,4,3,3,3,3,3,3,2,2,2,2,2,2,2
7 6,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
7 6,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2
7 6,4,4,4,3,3,2,2,2,2,2,2,2,2,2
7 7,3,2,2,2,2,2,2,2,2,2,2,2,2
7 7,3,2,2,2,2,2,2,2,2,2,2,2,2,2
7 7,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
7 7,4,3,3,2,2,2,2,2,2,2,2
7 7,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2
7 7,4,3,3,3,3,2,2,2,2,2,2,2,2,2
7 7,4,4,3,2,2,2,2,2,2,2,2,2,2,2
7 8,3,2,2,2,2,2,2,2,2,2,2,2,2
7 8,3,3,3,3,2,2,2,2,2,2,2,2
7 8,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
7 8,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2
7 13,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6 2,2,2,2,2,2,2,2,2,2,2,2
6 3,3,3,2,2,2,2,2,2,2
6 3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6 3,3,3,3,3,3,3,3,2,2,2,2,2,2
6 4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
6 4,4,2,2,2,2,2,2,2,2,2
6 4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2
6 4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
6 4,4,4,2,2,2,2,2,2,2,2,2,2
6 4,4,4,2,2,2,2,2,2,2,2,2,2,2,2
6 4,4,4,3,2,2,2,2,2,2,2
6 4,4,4,3,3,2,2,2,2,2,2
6 4,4,4,3,3,3,2,2,2,2,2,2
6 4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
6 4,4,4,4,3,3,2,2,2,2,2,2,2,2
6 5,2,2,2,2,2,2,2,2,2,2,2,2
6 5,3,3,3,3,3,2,2,2,2,2,2
6 5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
6 5,4,4,2,2,2,2,2,2,2,2,2,2
6 5,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2
6 5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2
6 5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2
6 5,5,3,2,2,2,2,2,2,2,2,2,2
6 5,5,3,3,3,2,2,2,2,2,2,2,2
6 5,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
6 5,5,3,3,3,3,2,2,2,2,2,2,2
6 5,5,3,3,3,3,3,2,2,2,2,2,2,2,2
6 5,5,4,3,3,2,2,2,2,2,2,2,2
6 5,5,4,4,3,3,2,2,2,2,2,2,2,2,2
6 6,2,2,2,2,2,2,2,2,2,2,2,2
6 6,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6 6,4,3,2,2,2,2,2,2,2,2
6 6,4,3,3,2,2,2,2,2,2,2
6 6,4,3,3,2,2,2,2,2,2,2,2
6 6,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6 6,4,4,3,3,2,2,2,2,2,2,2,2
6 6,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2
6 6,4,4,3,3,3,3,2,2,2,2,2,2,2,2
6 6,5,3,3,2,2,2,2,2,2,2,2,2
6 6,5,3,3,3,2,2,2,2,2,2,2
6 6,5,4,3,3,3,2,2,2,2,2,2,2
6 7,3,2,2,2,2,2,2,2,2,2,2
6 7,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6 7,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
6 7,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2
6 7,4,4,3,3,3,2,2,2,2,2,2,2,2
6 7,5,3,3,2,2,2,2,2,2,2,2,2,2
6 8,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6 8,3,3,3,2,2,2,2,2,2,2,2
6 8,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6 8,3,3,3,3,2,2,2,2,2,2,2
6 8,4,3,2,2,2,2,2,2,2,2,2,2,2,2
6 8,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
6 8,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
6 8,4,4,3,3,2,2,2,2,2,2,2,2
6 9,4,3,3,2,2,2,2,2,2,2,2,2,2,2
6 9,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2
6 9,4,3,3,3,3,2,2,2,2,2,2,2,2
6 10,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6 13,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6 13,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5 2,2,2,2,2,2,2,2,2,2,2
5 3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5 3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
5 3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
5 4,2,2,2,2,2,2,2,2,2
5 4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5 4,3,3,3,3,3,2,2,2,2
5 4,3,3,3,3,3,3,3,3,2,2,2,2,2
5 4,3,3,3,3,3,3,3,3,2,2,2,2,2,2
5 4,4,2,2,2,2,2,2,2,2
5 4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5 4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5 4,4,3,3,3,2,2,2,2,2
5 4,4,3,3,3,3,2,2,2,2,2
5 4,4,3,3,3,3,3,3,3,2,2,2,2,2,2
5 4,4,4,3,3,3,2,2,2,2,2
5 4,4,4,3,3,3,3,3,2,2,2,2,2
5 4,4,4,3,3,3,3,3,2,2,2,2,2,2
5 4,4,4,4,3,3,2,2,2,2,2,2,2,2,2
5 4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2
5 5,2,2,2,2,2,2,2,2,2,2,2,2,2
5 5,3,2,2,2,2,2,2,2
5 5,3,3,2,2,2,2,2,2
5 5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5 5,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
5 5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5 5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5 5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5 5,4,4,3,2,2,2,2,2,2,2,2
5 5,4,4,3,3,3,3,3,3,2,2,2,2,2,2
5 5,4,4,4,3,3,3,2,2,2,2,2,2
5 5,5,3,2,2,2,2,2,2,2,2,2
5 5,5,3,2,2,2,2,2,2,2,2,2,2,2
5 5,5,3,3,3,3,3,2,2,2,2,2,2,2
5 5,5,4,3,2,2,2,2,2,2,2,2,2,2
5 5,5,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2
5 5,5,4,3,3,3,2,2,2,2,2,2,2
5 5,5,4,3,3,3,2,2,2,2,2,2,2,2,2
5 5,5,4,3,3,3,3,2,2,2,2,2,2,2
5 5,5,4,4,3,3,2,2,2,2,2,2,2,2
5 6,2,2,2,2,2,2,2,2,2,2,2,2,2
5 6,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
5 6,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
5 6,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
5 6,4,4,3,3,3,2,2,2,2,2,2,2
5 6,5,3,2,2,2,2,2,2,2,2,2,2,2,2
5 6,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
5 6,5,3,3,3,3,2,2,2,2,2,2,2
5 6,5,3,3,3,3,3,2,2,2,2,2,2,2
5 6,5,4,3,3,2,2,2,2,2,2,2,2,2
5 6,5,4,4,3,2,2,2,2,2,2,2,2,2,2,2
5 7,2,2,2,2,2,2,2,2,2,2,2,2,2
5 7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5 7,3,3,2,2,2,2,2,2,2,2,2
5 7,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5 7,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5 7,3,3,3,3,2,2,2,2,2,2,2
5 7,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5 7,4,3,3,3,2,2,2,2,2,2,2,2
5 7,4,3,3,3,3,3,2,2,2,2,2,2
5 7,4,4,3,3,3,2,2,2,2,2,2,2
5 8,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
5 8,4,3,2,2,2,2,2,2,2,2,2,2,2
5 8,4,3,3,2,2,2,2,2,2,2,2
5 8,4,3,3,2,2,2,2,2,2,2,2,2,2
5 8,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2
5 8,4,3,3,3,2,2,2,2,2,2,2,2,2
5 8,4,4,3,3,2,2,2,2,2,2,2,2,2,2
5 9,3,3,2,2,2,2,2,2,2,2,2,2,2,2
5 9,3,3,3,2,2,2,2,2,2,2,2,2
5 9,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
5 9,4,3,3,3,2,2,2,2,2,2,2,2
5 9,4,3,3,3,2,2,2,2,2,2,2,2,2,2
5 9,4,3,3,3,3,2,2,2,2,2,2,2,2,2
5 10,4,3,3,3,2,2,2,2,2,2,2,2,2
5 11,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5 13,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5 13,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5 13,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 2,2,2,2,2,2,2,2,2
4 3,2,2,2,2,2,2,2,2
4 3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
4 4,2,2,2,2,2,2,2,2
4 4,3,3,2,2,2,2,2
4 4,3,3,3,2,2,2,2,2
4 4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 4,4,3,3,2,2,2,2,2
4 4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2
4 4,4,4,4,3,2,2,2,2,2,2,2,2,2
4 4,4,4,4,3,2,2,2,2,2,2,2,2,2,2
4 4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2
4 4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2
4 4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2
4 4,4,4,4,3,3,3,3,2,2,2,2,2,2
4 4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2
4 5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 5,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 5,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
4 5,3,3,3,3,3,3,3,2,2,2,2,2,2
4 5,4,3,3,3,2,2,2,2,2
4 5,4,3,3,3,3,3,3,2,2,2,2,2
4 5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
4 5,4,3,3,3,3,3,3,3,2,2,2,2
4 5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2
4 5,4,4,3,3,3,3,2,2,2,2,2
4 5,4,4,3,3,3,3,3,3,2,2,2,2
4 5,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2
4 5,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2
4 5,4,4,4,3,3,3,2,2,2,2,2,2,2,2
4 5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2
4 5,4,4,4,3,3,3,3,2,2,2,2,2,2
4 5,5,2,2,2,2,2,2,2,2,2,2,2,2
4 5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 5,5,3,3,2,2,2,2,2,2,2,2
4 5,5,3,3,3,3,3,3,2,2,2,2,2,2,2,2
4 5,5,4,3,3,2,2,2,2,2,2,2
4 5,5,4,3,3,3,2,2,2,2,2,2,2,2
4 5,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2
4 5,5,4,4,3,2,2,2,2,2,2,2,2,2
4 6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 6,3,2,2,2,2,2,2,2,2
4 6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 6,3,3,3,3,2,2,2,2,2,2
4 6,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 6,4,3,3,3,3,3,3,2,2,2,2,2,2
4 6,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2
4 6,4,4,3,2,2,2,2,2,2,2,2
4 6,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2
4 6,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2
4 6,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
4 6,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2
4 6,5,2,2,2,2,2,2,2,2,2,2,2,2
4 6,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 6,5,4,3,3,2,2,2,2,2,2,2,2
4 7,3,3,3,2,2,2,2,2,2,2
4 7,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
4 7,3,3,3,3,3,2,2,2,2,2,2,2
4 7,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
4 7,4,3,2,2,2,2,2,2,2,2,2
4 7,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2
4 7,4,4,3,3,2,2,2,2,2,2,2,2
4 7,4,4,3,3,3,3,2,2,2,2,2,2,2
4 7,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2
4 7,5,3,3,3,2,2,2,2,2,2,2,2,2
4 8,3,3,2,2,2,2,2,2,2,2,2
4 8,3,3,3,3,3,2,2,2,2,2,2,2,2,2
4 8,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
4 8,3,3,3,3,3,3,2,2,2,2,2,2,2
4 8,4,3,3,3,2,2,2,2,2,2,2,2
4 8,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
4 8,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2
4 9,3,2,2,2,2,2,2,2,2,2,2,2,2
4 9,3,3,3,2,2,2,2,2,2,2,2
4 9,3,3,3,2,2,2,2,2,2,2,2,2,2,2
4 9,4,3,2,2,2,2,2,2,2,2,2,2,2,2
4 10,4,3,3,3,2,2,2,2,2,2,2,2,2,2
4 10,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 10,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 10,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
4 10,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
4 11,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 13,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 13,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 13,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 13,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 13,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 13,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 13,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 13,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 13,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 13,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 13,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 13,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
4 13,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4 13,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3 2,2,2,2,2,2,2,2,2,2
3 3,2,2,2,2,2,2,2
3 3,3,3,3,2,2,2,2,2
3 3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3 3,3,3,3,3,3,2,2,2,2,2
3 3,3,3,3,3,3,3,3,2,2,2,2,2
3 3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
3 4,3,3,3,2,2,2,2
3 4,3,3,3,3,3,2,2,2,2,2
3 4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
3 4,4,2,2,2,2,2,2,2
3 4,4,3,2,2,2,2,2
3 4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3 4,4,3,3,3,3,2,2,2,2
3 4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
3 4,4,4,2,2,2,2,2,2,2,2,2
3 4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2
3 4,4,4,3,2,2,2,2,2,2
3 4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3 4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3 4,4,4,3,3,3,3,2,2,2,2,2
3 4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
3 4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2
3 4,4,4,4,3,3,3,2,2,2,2,2,2,2
3 4,4,4,4,3,3,3,3,3,2,2,2,2,2
3 4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2
3 4,4,4,4,4,2,2,2,2,2,2,2,2,2,2
3 4,4,4,4,4,3,3,2,2,2,2,2,2,2,2
3 5,2,2,2,2,2,2,2,2,2
3 5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3 5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3 5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3 5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3 5,3,3,3,2,2,2,2,2
3 5,3,3,3,2,2,2,2,2,2
3 5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3 5,3,3,3,3,2,2,2,2,2
3 5,3,3,3,3,3,3,3,2,2,2,2,2,2,2
3 5,4,2,2,2,2,2,2,2
3 5,4,2,2,2,2,2,2,2,2
3 5,4,2,2,2,2,2,2,2,2,2
3 5,4,3,3,2,2,2,2,2,2
3 5,4,3,3,3,3,3,3,3,2,2,2,2,2,2
3 5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
